"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplId","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"100","Senna hebecarpa","Senna hebecarpa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,100,1,"wfo-0000175226","urn:lsid:ipni.org:names:234488-2","21356","Senna hebecarpa","SPECIES","wfo-4000035076","(Fernald) H.S.Irwin & Barneby","Fabaceae","","","","Senna","","hebecarpa","","","","Mem. New York Bot. Gard. 35: 446 (1982)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-21356 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-21356 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/ild-21356","ildis","A","http://www.theplantlist.org/tpl1.1/record/ild-21356","",FALSE,"","","",""
"101","Senna marilandica","Senna marilandica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,101,1,"wfo-0000183492","urn:lsid:ipni.org:names:518344-1","29555","Senna marylandica","SPECIES","wfo-4000035076","(L.) Link","Fabaceae","","","","Senna","","marylandica","","","","Handbuch 2: 140 (1831)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-29555 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-29555 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/ild-29555","ildis","A","http://www.theplantlist.org/tpl1.1/record/ild-29555","",FALSE,"","","",""
"102","Silphium integrifolium","Silphium integrifolium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,102,1,"wfo-0000004985","urn:lsid:ipni.org:names:30072268-2","GCC-582A5B57-8E16-412F-A042-A4399CD2FA40","Silphium integrifolium","SPECIES","wfo-4000035376","Michx.","Asteraceae","","","","Silphium","","integrifolium","","","","Fl. Bor.-Amer. 2: 146 (1803)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-104796 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-104796 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-104796","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-104796","",FALSE,"","","",""
"103.1","Silphium laciniatum","Silphium laciniatum",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,103,2,"wfo-0000117950","urn:lsid:ipni.org:names:315757-2","GCC-3D90A87D-8528-4E5F-A386-6B1FF1840600","Silphium laciniatum","SPECIES","wfo-4000035376","L.","Asteraceae","","","","Silphium","","laciniatum","","","","Sp. Pl. : 919 (1753)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-79299 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-79299 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-79299","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-79299","",FALSE,"","","","Not a synonym"
"104","Silphium terebinthinaceum","Silphium terebinthinaceum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,104,1,"wfo-0000079762","urn:lsid:ipni.org:names:30257140-2","GCC-F7B44FA9-A814-4A3B-9823-4361BC91CA12","Silphium terebinthinaceum","SPECIES","wfo-4000035376","Jacq.","Asteraceae","","","","Silphium","","terebinthinaceum","","","","Hort. Bot. Vindob. 1: 16 (t. 43) (1770)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-36338 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-36338 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-36338","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-36338","",FALSE,"","","",""
"105","Sisyrinchium angustifolium","Sisyrinchium angustifolium",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,105,1,"wfo-0000786370","urn:lsid:ipni.org:names:440925-1","324934","Sisyrinchium angustifolium","SPECIES","wfo-4000035553","Mill.","Iridaceae","","","","Sisyrinchium","","angustifolium","","","","Gard. Dict. ed. 8 : n.º 2 (1768)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-324934 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-324934 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-324934","iplants","A","http://www.theplantlist.org/tpl1.1/record/kew-324934","",FALSE,"","","","Not a synonym"
"106.1","Solidago juncea","Solidago juncea",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,106,2,"wfo-0000129246","urn:lsid:ipni.org:names:249633-1","GCC-4A66E631-9594-4585-B302-8365168986A6","Solidago juncea","SPECIES","wfo-4000035732","Aiton","Asteraceae","","","","Solidago","","juncea","","","","Hort. Kew. 3: 213 (1789)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-90186 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-90186 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-90186","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-90186","",FALSE,"","","","Accepted"
"107","Solidago nemoralis","Solidago nemoralis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,107,1,"wfo-0000013309","urn:lsid:ipni.org:names:249731-1","GCC-F94F0F34-FBD2-48C0-8B43-B66FC73B34F3","Solidago nemoralis","SPECIES","wfo-4000035732","Aiton","Asteraceae","","","","Solidago","","nemoralis","","","","Hort. Kew. 3: 213 (1789)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-112880 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-112880 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-112880","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-112880","",FALSE,"","","",""
"108","Solidago speciosa","Solidago speciosa",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,108,1,"wfo-0000032825","","GCC-DEAC5B47-EF39-4C35-8928-E1A22DA54FE0","Solidago speciosa","SPECIES","wfo-4000035732","A.Gray","Asteraceae","","","","Solidago","","speciosa","","","","","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-131742 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-131742 >The Plant List v.1.0</a>","https://wcvp.science.kew.org/taxon/240517-2","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-131742","",FALSE,"","","","smallest ID"
"109","Sorghastrum nutans","Sorghastrum nutans",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,109,1,"wfo-0000900100","urn:lsid:ipni.org:names:240823-2","443203","Sorghastrum nutans","SPECIES","wfo-4000035800","Nash in Small","Poaceae","","","","Sorghastrum","","nutans","","","","Fl. S.E. U.S. : 66 (1903)","ACCEPTED","","wfo-0000847133","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-443203 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-443203 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-443203","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-443203","",FALSE,"","","",""
