"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"30","Bouteloua curtipendula","Bouteloua curtipendula",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,23,1,"wfo-0000853887","urn:lsid:ipni.org:names:1198286-2","399418","Bouteloua curtipendula","species","wfo-4000005139","(Michx.) Torr.","Poaceae","","","","Bouteloua","","curtipendula","","species","Valid","Explor. Red River Louisiana : 300 (1853)","Accepted","","wfo-0000859471",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Michx.) Torr. to (Michx.) Torr. in Marcy, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-399418 >T","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1198286-2","The Poaceae TEN","A","kew-399418","",FALSE,"","","",""
"31","Brickellia eupatorioides","Brickellia eupatorioides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,24,1,"wfo-0000048503","urn:lsid:ipni.org:names:36409-2","GCC-4656E9BF-68B7-49D8-9DE6-249AE66CF641","Brickellia eupatorioides","species","wfo-4000005423","(L.) Shinners","Asteraceae","Asteroideae","Eupatorieae","","Brickellia","","eupatorioides","","species","Valid","Sida 4: 274 (1971)","Accepted","","wfo-0000077175",NA,"Source in seed data: gcc Update namepublishedIn from SIDA 4: 274. 1971. to Sida 4: 274 (1971), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-146997 >The Plant Li","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1087610","The Asteraceaae TEN","A","gcc-146997","",FALSE,"","","",""
"32","Bromus kalmii","Bromus kalmii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,25,1,"wfo-0000855847","urn:lsid:ipni.org:names:37071-2","401297","Bromus kalmii","species","wfo-4000005481","A.Gray","Poaceae","","","","Bromus","","kalmii","","species","Valid","Manual : 600 (1848)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Manual 600 1848 to Manual : 600 (1848), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-401297 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:37071-2","The Poaceae TEN","A","kew-401297","",FALSE,"","","",""
"33","Campanula rotundifolia","Campanula rotundifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,26,1,"wfo-0000828550","urn:lsid:ipni.org:names:30036649-2","365918","Campanula rotundifolia","species","wfo-4000006381","L.","Campanulaceae","","","","Campanula","","rotundifolia","","species","Valid","Sp. Pl. : 163 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 163 1753 to Sp. Pl. : 163 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-365918 >The Plant Li","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-365918","",FALSE,"","","",""
"34","Camassia scilloides","Camassia scilloides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,27,1,"wfo-0000762903","urn:lsid:ipni.org:names:43771-2","301866","Camassia scilloides","species","wfo-4000006348","(Raf.) Cory","Asparagaceae","","","","Camassia","","scilloides","","species","Valid","Rhodora 38: 405 (1936)","Accepted","","wfo-0000644351",NA,"Source in seed data: wcs Update namepublishedIn from Rhodora 38: 405 1936 to Rhodora 38: 405 (1936), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-301866 >The Pl","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-301866","",FALSE,"","","",""
"35","Castilleja coccinea","Castilleja coccinea",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,28,1,"wfo-0000590127","urn:lsid:ipni.org:names:30322452-2","835791","Castilleja coccinea","species","wfo-4000006945","(L.) Spreng.","Orobanchaceae","","","","Castilleja","","coccinea","","species","Valid","Syst. Veg., ed. 16. 2: 775 (1825)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Syst. Veg., ed. 16 [Sprengel] 2: 775. 1825 [Jan-May 1825] to Syst. Veg. 2: 775 (1825), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantli","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30322452-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2704941","",FALSE,"","","","Not a synonym"
"37","Ceanothus americanus","Ceanothus americanus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,29,1,"wfo-0000591761","urn:lsid:ipni.org:names:319138-2","837289","Ceanothus americanus","species","wfo-4000007095","L.","Rhamnaceae","","","","Ceanothus","","americanus","","species","Valid","Sp. Pl. : 195 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 195 1753 to Sp. Pl. : 195 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2706604 >The Plant L","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2706604","",FALSE,"","","",""
"38","Chamaecrista fasciculata","Chamaecrista fasciculata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,30,1,"wfo-0000178525","urn:lsid:ipni.org:names:30152763-2","24601","Chamaecrista fasciculata","species","wfo-4000007584","(Michx.) Greene","Fabaceae","Caesalpinioideae","","","Chamaecrista","","fasciculata","","species","Valid","Pittonia 3: 242 (1900)","Accepted","","wfo-0000180659",NA,"Source in seed data: ildis More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-24601 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-24601 >The Plant List v.1.0</a>","https://www.legumedata.org/taxonomy/taxon/2714856","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-24601","",FALSE,"","","",""
"39","Coreopsis palmata","Coreopsis palmata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,31,1,"wfo-0000044527","urn:lsid:ipni.org:names:65888-2","GCC-F71549E9-39C2-4AD4-9F1F-FB1493DAA999","Coreopsis palmata","species","wfo-4000009296","Nutt.","Asteraceae","Asteroideae","Coreopsideae","","Coreopsis","","palmata","","species","Valid","Gen. N. Amer. Pl. 2: 180 (1818)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from 180 1818 to Gen. N. Amer. Pl. 2: 180 (1818), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-143070 >The Plant","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1114715","The Asteraceaae TEN","A","gcc-143070","",FALSE,"","","",""
"40","Coreopsis tripteris","Coreopsis tripteris",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,32,1,"wfo-0000088275","urn:lsid:ipni.org:names:65938-2","GCC-D07C8E1C-1750-47DB-A1D1-52A536A2D0E2","Coreopsis tripteris","species","wfo-4000009296","L.","Asteraceae","Asteroideae","Coreopsideae","","Coreopsis","","tripteris","","species","Valid","Sp. Pl. : 908 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 908. 1753 to Sp. Pl. : 908 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-44613 >The Plant Li","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1093475","The Asteraceaae TEN","A","gcc-44613","",FALSE,"","","",""
"41","Carex annectens","Carex annectens",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,33,1,"wfo-0000344445","urn:lsid:ipni.org:names:45733-2","224509","Carex annectens","species","wfo-4000006709","(E.P.Bicknell) E.P.Bicknell","Cyperaceae","","","","Carex","","annectens","","species","Valid","Bull. Torrey Bot. Club 35: 492 (1908)","Accepted","","wfo-0000352725",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Torrey Bot. Club 35: 492 1908 to Bull. Torrey Bot. Club 35: 492 (1908), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tp","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45733-2","The Cyperaceae TEN","A","kew-224509","",FALSE,"","","",""
"43","Carex bicknellii","Carex bicknellii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,34,2,"wfo-0000344891","urn:lsid:ipni.org:names:298815-1","224929","Carex bicknellii","species","wfo-4000006709","Britton & A.Br.","Cyperaceae","","","","Carex","","bicknellii","","species","Valid","Fl. N. U.S. i. 360.","Accepted","","",NA,"Source in seed data: wcs Updated scientificnameAuthorship from Britton & A.Br. to Britton & A.Brown, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-224929 >The Pl","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45852-2","The Cyperaceae TEN","A","kew-224929","",FALSE,"","","","Not a synonym"
"44","Carex blanda","Carex blanda",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,35,1,"wfo-0000344953","urn:lsid:ipni.org:names:298848-1","224985","Carex blanda","species","wfo-4000006709","Dewey","Cyperaceae","","","","Carex","","blanda","","species","Valid","Amer. J. Sci. Arts 10: 45 (1826)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Amer. J. Sci. Arts 10: 45 1826 to Amer. J. Sci. Arts 10: 45 (1826), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298848-1","The Cyperaceae TEN","A","kew-224985","",FALSE,"","","",""
"45","Carex brevior","Carex brevior",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,36,1,"wfo-0000345100","urn:lsid:ipni.org:names:45890-2","225121","Carex brevior","species","wfo-4000006709","(Dewey) Mack. ex Lunell","Cyperaceae","","","","Carex","","brevior","","species","Valid","Amer. Midl. Naturalist 4: 235 (1915)","Accepted","","wfo-0000351592",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Dewey) Mack. ex Lunell to (Dewey) Mack., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-225121 >Th","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45890-2","The Cyperaceae TEN","A","kew-225121","",FALSE,"","","",""
"46","Carex gravida","Carex gravida",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,37,1,"wfo-0000347223","urn:lsid:ipni.org:names:292646-2","227114","Carex gravida","species","wfo-4000006709","L.H.Bailey","Cyperaceae","","","","Carex","","gravida","","species","Valid","Mem. Torrey Bot. Club 1: 5 (1889)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Mem. Torrey Bot. Club 1: 5 1889 to Mem. Torrey Bot. Club 1: 5 (1889), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:292646-2","The Cyperaceae TEN","A","kew-227114","",FALSE,"","","",""
"47","Carex molesta","Carex molesta",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,38,1,"wfo-0000348949","urn:lsid:ipni.org:names:46669-2","228728","Carex molesta","species","wfo-4000006709","Mack.","Cyperaceae","","","","Carex","","molesta","","species","Valid","N. Amer. Fl. 18: 151 (1931)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from N. Amer. Fl. 18: 151 1931 to N. Amer. Fl. 18: 151 (1931), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2287","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:46669-2","The Cyperaceae TEN","A","kew-228728","",FALSE,"","","",""
"48","Carex normalis","Carex normalis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,39,1,"wfo-0000349330","urn:lsid:ipni.org:names:301238-1","229085","Carex normalis","species","wfo-4000006709","Mack.","Cyperaceae","","","","Carex","","normalis","","species","Valid","Bull. Torrey Bot. Club 37: 244 (1919)","Accepted","","wfo-0000348912",NA,"Source in seed data: wcs Updated namepublishedIn from Bull. Torrey Bot. Club 37: 244 1919 to Bull. Torrey Bot. Club 37: 244. 1910 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/t","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:46735-2","The Cyperaceae TEN","A","kew-229085","",FALSE,"","","",""
"49","Dalea candida","Dalea candida",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,40,1,"wfo-0000170467","urn:lsid:ipni.org:names:30189316-2","16740","Dalea candida","species","wfo-4000010680","Willd.","Fabaceae","Papilionoideae","","","Dalea","","candida","","species","Valid","Sp. Pl., ed. 4. 3: 1337 (1802)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from to Sp. Pl., ed. 4 , 3: 1337 (1802), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-16740 >The Plant List v.","https://www.legumedata.org/taxonomy/taxon/2756054","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-16740","",FALSE,"","","",""
"50","Dalea purpurea","Dalea purpurea",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,41,1,"wfo-0000169115","urn:lsid:ipni.org:names:76326-2","15442","Dalea purpurea","species","wfo-4000010680","Vent.","Fabaceae","Papilionoideae","","","Dalea","","purpurea","","species","Valid","Choix Pl. : t. 40 (1807)","Accepted","","",NA,"Source in seed data: ildis Updated namepublishedIn from to Jard. Malmaison t. 40. , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-15442 >The Plant List v.1.1.</a","https://www.legumedata.org/taxonomy/taxon/2756391","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-15442","",FALSE,"","","",""
"51","Desmodium canadense","Desmodium canadense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,42,1,"wfo-0000170488","urn:lsid:ipni.org:names:1051889-2","16761","Desmodium canadense","species","wfo-4000011206","(L.) DC.","Fabaceae","Papilionoideae","","","Desmodium","","canadense","","species","Valid","Prodr. 2: 328 (1825)","Accepted","","wfo-0000209829",NA,"Source in seed data: ildis Update namepublishedIn from to Prodr. 2: 328 (1825), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-16761 >The Plant List v.1.1.</a> Or","https://www.legumedata.org/taxonomy/taxon/2762197","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-16761","",FALSE,"","","",""
"52","Desmodium illinoense","Desmodium illinoense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,43,1,"wfo-0000170302","urn:lsid:ipni.org:names:491822-1","16581","Desmodium illinoense","species","wfo-4000011206","A.Gray","Fabaceae","Papilionoideae","","","Desmodium","","illinoense","","species","Valid","Proc. Amer. Acad. Arts 8: 289 (1870)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from to Proc. Amer. Acad. Arts 8: 289 (1870), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-16581 >The Plant Li","https://www.legumedata.org/taxonomy/taxon/2762413","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-16581","",FALSE,"","","",""
"53","Dodecatheon meadia","Dodecatheon meadia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,44,1,"wfo-0001280208","urn:lsid:ipni.org:names:60447606-2","50308078","Primula meadia","species","wfo-4000031131","(L.) A.R.Mast & Reveal","Primulaceae","","","","Primula","","meadia","","species","Valid","Brittonia  59: 81 (2007)","Accepted","","wfo-0000652843",NA,"Source in seed data: tro Update namepublishedIn from Brittonia 59(1): 81. 2007 [30 Mar 2007] to Brittonia 59: 81 (2007), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60447606-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50308078","",TRUE,"Synonym","wfo-0000652843","Dodecatheon meadia",""
"55","Desmanthus illinoensis","Desmanthus illinoensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,45,2,"wfo-0000192486","","39052","Desmanthus illinoensis","species","wfo-4000011190","(Michx.) MacMill.","Fabaceae","Caesalpinioideae","","","Desmanthus","","illinoensis","","species","Valid","","Accepted","","",NA,"Source in seed data: ildis Updated taxonomicstatus from Accepted to accepted, acceptedNameId from to null, [references] from http://www.theplantlist.org/tpl1.1/record/ild-39052, according to WCVP, information provided by Alan E. on email Dec 02 2020 More","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30211162-2","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-39052","",FALSE,"","","","smallest ID"
"57","Echinacea pallida","Echinacea pallida",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,46,1,"wfo-0000020152","urn:lsid:ipni.org:names:202374-1","GCC-97866579-2F3B-4E7D-8387-C546EF33C7A9","Echinacea pallida","species","wfo-4000012904","(Nutt.) Nutt.","Asteraceae","Asteroideae","Heliantheae","Zinniinae","Echinacea","","pallida","","species","Valid","Trans. Amer. Philos. Soc. , ser. 2, 7: 354 (1840)","Accepted","","wfo-0000120733",NA,"Source in seed data: gcc Update namepublishedIn from Trans. Amer. Philos. Soc. ser. 2, 7: 354 1840 to Trans. Amer. Philos. Soc. , ser. 2, 7: 354 (1840), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://w","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1108010","The Asteraceaae TEN","A","gcc-119485","",FALSE,"","","","Accepted"
"59","Echinacea purpurea","Echinacea purpurea",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,47,1,"wfo-0000036347","urn:lsid:ipni.org:names:1174497-2","GCC-AADAD3F3-3650-4DDD-BB13-E9573CBE0045","Echinacea purpurea","species","wfo-4000012904","(L.) Moench","Asteraceae","Asteroideae","Heliantheae","Zinniinae","Echinacea","","purpurea","","species","Valid","Methodus : 591 (1794)","Accepted","","wfo-0000074368",NA,"Source in seed data: gcc Update namepublishedIn from Methodus (Moench) 591. 1794 [4 May 1794] to Methodus : 591 (1794), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1112461","The Asteraceaae TEN","A","gcc-135149","",FALSE,"","","",""
"60","Elymus canadensis","Elymus canadensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,48,1,"wfo-0000866073","urn:lsid:ipni.org:names:400194-1","410973","Elymus canadensis","species","wfo-4000013270","L.","Poaceae","","","","Elymus","","canadensis","","species","Valid","Sp. Pl. : 83 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 83 1753 to Sp. Pl. : 83 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-410973 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400194-1","The Poaceae TEN","A","kew-410973","",FALSE,"","","",""
"61","Eragrostis spectabilis","Eragrostis spectabilis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,49,1,"wfo-0000868452","urn:lsid:ipni.org:names:1137778-2","413215","Eragrostis spectabilis","species","wfo-4000013668","(Pursh) Steud.","Poaceae","","","","Eragrostis","","spectabilis","","species","Valid","Nomencl. Bot. , ed. 2, 1: 564 (1840)","Accepted","","wfo-0000893869",NA,"Source in seed data: wcs Update namepublishedIn from Nomencl. Bot. [Steudel], ed. 2. 1: 564. 1840 to Nomencl. Bot. , ed. 2, 1: 564 (1840), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1137778-2","The Poaceae TEN","A","kew-413215","",FALSE,"","","",""
"62","Eryngium yuccifolium","Eryngium yuccifolium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,50,1,"wfo-0000678333","urn:lsid:ipni.org:names:842103-1","927480","Eryngium yuccifolium","species","wfo-4000013959","Michx.","Apiaceae","","","","Eryngium","","yuccifolium","","species","Valid","Fl. Bor.-Amer. 1: 164 (1803)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Bor.-Amer. 1: 164 1803 to Fl. Bor.-Amer. 1: 164 (1803), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-27","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:842103-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2799673","",FALSE,"","","",""
"64","Eupatorium altissimum","Eupatorium altissimum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,51,2,"wfo-0000135814","urn:lsid:ipni.org:names:99471-2","GCC-C33FC1C4-30A3-4C53-8C86-91D4327F94A1","Eupatorium altissimum","species","wfo-4000014215","L.","Asteraceae","Asteroideae","Eupatorieae","Eupatoriinae","Eupatorium","","altissimum","","species","Valid","Sp. Pl. : 837 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 837 1753 to Sp. Pl. : 837 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-96548 >The Plant Lis","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1101421","The Asteraceaae TEN","A","gcc-96548","",FALSE,"","","","Not a synonym"
"65","Euphorbia corollata","Euphorbia corollata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,52,1,"wfo-0000961505","urn:lsid:ipni.org:names:277069-2","79114","Euphorbia corollata","species","wfo-4000014224","L.","Euphorbiaceae","","","","Euphorbia","","corollata","","species","Valid","Sp. Pl. 1: 459. 1753 [1 May 1753]","Accepted","","",NA,"Source in seed data: wcs Updated namepublishedIn from Sp. Pl. 459 1753 to Sp. Pl. 1: 459. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-79114","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:276640-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-79114","",FALSE,"","","",""
"67","Euthamia graminifolia","Euthamia graminifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,53,2,"wfo-0000018631","urn:lsid:ipni.org:names:1004467-1","GCC-12EE212B-DCC8-4BE4-B219-C1F7256F7C6A","Euthamia graminifolia","species","wfo-4000014352","(L.) Nutt.","Asteraceae","Asteroideae","Astereae","Gutiereziinae","Euthamia","","graminifolia","","species","Valid","Trans. Amer. Philos. Soc. , ser. 2, 7: 325 (1840)","Accepted","","wfo-0000000396",NA,"Source in seed data: gcc Update namepublishedIn from Trans. Amer. Philos. Soc. ser. 2, 7: 325. 1840 [Oct-Dec 1840] to Trans. Amer. Philos. Soc. , ser. 2, 7: 325 (1840), information provided by Alan E. on email Jun. 07 2021 More details could be found in ","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1107556","The Asteraceaae TEN","A","gcc-118014","",FALSE,"","","","Not a synonym"
"68","Fragaria virginiana","Fragaria virginiana",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,54,1,"wfo-0001005555","urn:lsid:ipni.org:names:318974-2","38099","Fragaria virginiana","species","wfo-4000014995","Mill.","Rosaceae","","","","Fragaria","","virginiana","","species","Valid","Gard. Dict., ed. 8. : Fragaria n.° 2 (1768)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Gard. Dict., ed. 8. [textus s.n.] Fragaria no. 2. 1768 [16 Apr 1768] to Gard. Dict. ed. 8 : Fragaria n.º 2 (1768), information provided by Alan E. on email Jun. 07 2021 More details could be found in ","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:318974-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-38099","",FALSE,"","","","Not a synonym"
"74","Gentiana andrewsii","Gentiana andrewsii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,55,1,"wfo-0000696871","urn:lsid:ipni.org:names:108172-2","947348","Gentiana andrewsii","species","wfo-4000015502","Griseb.","Gentianaceae","","","","Gentiana","","andrewsii","","species","Valid","Fl. Bor.-Amer. 2: 55 (1837)","Accepted","","",NA,"Source in seed data: cmp Updated namepublishedIn from Fl. Bor.-Amer. 2: 55 1837 to Fl. Bor.-Amer. (Hooker) 2(8): 55 (-56). 1837 [Jul 1837] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantl","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:367759-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2819909","",FALSE,"","","",""
"75","Helenium autumnale","Helenium autumnale",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,56,1,"wfo-0000124883","urn:lsid:ipni.org:names:211760-1","GCC-AC4E4C0F-F8B9-440D-B9C1-79E22216D6E1","Helenium autumnale","species","wfo-4000017185","L.","Asteraceae","Asteroideae","Helenieae","Gaillardiinae","Helenium","","autumnale","","species","Valid","Sp. Pl. : 886 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 886. 1753 to Sp. Pl. : 886 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-85973 >The Plant Li","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1097746","The Asteraceaae TEN","A","gcc-85973","",FALSE,"","","",""
