"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"13","Agastache nepetoides","Agastache nepetoides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,11,1,"wfo-0000904334","urn:lsid:ipni.org:names:6315-2","4471","Agastache nepetoides","species","wfo-4000000903","(L.) Kuntze","Lamiaceae","","","","Agastache","","nepetoides","","species","Valid","Revis. Gen. Pl.  2: 511 (1891)","Accepted","","wfo-0000217203",NA,"Source in seed data: wcs Update namepublishedIn from Revis. Gen. Pl. 2: 511 1891 to Revis. Gen. Pl. 2: 511 (1891), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:6315-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-4471","",FALSE,"","",""
"14","Monarda fistulosa","Monarda fistulosa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,12,1,"wfo-0000245324","urn:lsid:ipni.org:names:452042-1","129185","Monarda fistulosa","species","wfo-4000024632","L.","Lamiaceae","","","","Monarda","","fistulosa","","species","Valid","Sp. Pl. : 22 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 22 1753 to Sp. Pl. : 22 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-129185 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:452042-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-129185","",FALSE,"","",""
"15","Chamaecrista fasciculata","Chamaecrista fasciculata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,13,1,"wfo-0000178525","urn:lsid:ipni.org:names:30152763-2","24601","Chamaecrista fasciculata","species","wfo-4000007584","(Michx.) Greene","Fabaceae","Caesalpinioideae","","","Chamaecrista","","fasciculata","","species","Valid","Pittonia 3: 242 (1900)","Accepted","","wfo-0000180659",NA,"Source in seed data: ildis More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-24601 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-24601 >The Plant List v.1.0</a>","https://www.legumedata.org/taxonomy/taxon/2714856","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-24601","",FALSE,"","",""
"16","Chamaecrista fasciculata","Chamaecrista fasciculata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,13,2,"wfo-1000081062","urn:lsid:ipni.org:names:54501-2","","Chamaecrista fasciculata","species","","(Michx.) Rydb.","Fabaceae","Caesalpinioideae","","","Chamaecrista","","fasciculata","","species","","Bull. Colorado Agric. Exp. Sta. 100: 194 (1906)","Unchecked","","",NA,"","","The Fabaceae TEN - Legume Taxonomy Working Group","A","","",FALSE,"","",""
"17","Dalea candida","Dalea candida",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,14,1,"wfo-0000170467","urn:lsid:ipni.org:names:30189316-2","16740","Dalea candida","species","wfo-4000010680","Willd.","Fabaceae","Papilionoideae","","","Dalea","","candida","","species","Valid","Sp. Pl., ed. 4. 3: 1337 (1802)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from to Sp. Pl., ed. 4 , 3: 1337 (1802), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-16740 >The Plant List v.","https://www.legumedata.org/taxonomy/taxon/2756054","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-16740","",FALSE,"","",""
"18","Dalea purpurea","Dalea purpurea",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,15,1,"wfo-0000169115","urn:lsid:ipni.org:names:76326-2","15442","Dalea purpurea","species","wfo-4000010680","Vent.","Fabaceae","Papilionoideae","","","Dalea","","purpurea","","species","Valid","Choix Pl. : t. 40 (1807)","Accepted","","",NA,"Source in seed data: ildis Updated namepublishedIn from to Jard. Malmaison t. 40. , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-15442 >The Plant List v.1.1.</a","https://www.legumedata.org/taxonomy/taxon/2756391","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-15442","",FALSE,"","",""
"19","Pycnanthemum virginianum","Pycnanthemum virginianum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,16,1,"wfo-0000289039","urn:lsid:ipni.org:names:1128143-2","171084","Pycnanthemum virginianum","species","wfo-4000032214","(L.) T.Durand & B.D.Jacks. ex B.L.Rob. & Fernald","Lamiaceae","","","","Pycnanthemum","","virginianum","","species","Valid","Manual , ed. 7: 707 (1908)","Accepted","","wfo-0000304600",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) T.Durand & B.D.Jacks. ex B.L.Rob. & Fernald to (L.) B.L.Rob. & Fernald, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantli","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1128143-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-171084","",FALSE,"","",""
"20","Trandescantia ohiensis","Trandescantia ohiensis",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,17,1,"wfo-0000589305","urn:lsid:ipni.org:names:173408-1","270385","Tradescantia ohiensis","species","wfo-1000064791","Raf.","Commelinaceae","Commelinoideae","Tradescantieae","Tradescantiinae","Tradescantia","Tradescantia","ohiensis","","species","Valid","Précis Découv. Somiol. : 45 (1814)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Précis Découv. Somiol. 45 1814 to Précis Découv. Somiol. : 45 (1814), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1","","The Commelinales TEN","A","kew-270385","",FALSE,"","",""
"21","Carex bicknellii","Carex bicknellii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,18,1,"wfo-0000344445","urn:lsid:ipni.org:names:45733-2","224509","Carex annectens","species","wfo-4000006709","(E.P.Bicknell) E.P.Bicknell","Cyperaceae","","Cariceae","","Carex","","annectens","","species","Valid","Bull. Torrey Bot. Club 35: 492 (1908)","Accepted","","wfo-0000352725",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Torrey Bot. Club 35: 492 1908 to Bull. Torrey Bot. Club 35: 492 (1908), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tp","https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1677200","The Cyperaceae TEN","A","kew-224509","",TRUE,"Synonym","wfo-0000344890","Carex bicknellii"
"22","Carex bicknellii","Carex bicknellii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,18,2,"wfo-0000344891","urn:lsid:ipni.org:names:298815-1","224929","Carex bicknellii","species","wfo-1000081896","Britton & A.Br.","Cyperaceae","","Cariceae","","Carex","Vignea","bicknellii","","species","Valid","Fl. N. U.S. i. 360.","Accepted","","",NA,"Source in seed data: wcs Updated scientificnameAuthorship from Britton & A.Br. to Britton & A.Brown, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-224929 >The Pl","https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1678138","The Cyperaceae TEN","A","kew-224929","",FALSE,"","",""
"23","Carex brevior","Carex brevior",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,19,1,"wfo-0000345100","urn:lsid:ipni.org:names:45890-2","225121","Carex brevior","species","wfo-1000081896","(Dewey) Mack. ex Lunell","Cyperaceae","","Cariceae","","Carex","Vignea","brevior","","species","Valid","Amer. Midl. Naturalist 4: 235 (1915)","Accepted","","wfo-0000351592",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Dewey) Mack. ex Lunell to (Dewey) Mack., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-225121 >Th","https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1678191","The Cyperaceae TEN","A","kew-225121","",FALSE,"","",""
"24","Sporobolus heterolepis","Sporobolus heterolepis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,20,1,"wfo-0000901178","urn:lsid:ipni.org:names:1026241-2","444230","Sporobolus heterolepis","species","wfo-4000036182","(A.Gray) A.Gray","Poaceae","","","","Sporobolus","","heterolepis","","species","Valid","Manual : 576 (1848)","Accepted","","wfo-0000907128",NA,"Source in seed data: wcs Update namepublishedIn from Manual 576 1848 to Manual : 576 (1848), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-444230 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1026241-2","The Poaceae TEN","A","kew-444230","",FALSE,"","",""
"25","Panicum virgatum","Panicum virgatum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,21,1,"wfo-0000886863","urn:lsid:ipni.org:names:413537-1","430831","Panicum virgatum","species","wfo-4000027882","L.","Poaceae","","","","Panicum","","virgatum","","species","Valid","Sp. Pl. : 59 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 59 1753 to Sp. Pl. : 59 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-430831 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:413537-1","The Poaceae TEN","A","kew-430831","",FALSE,"","",""
"26","Panicum virgatum","Panicum virgatum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,21,2,"wfo-0000886564","urn:lsid:ipni.org:names:413287-1","430558","Panicum sumatrense","species","wfo-4000027882","Roth","Poaceae","","","","Panicum","","sumatrense","","species","Valid","Syst. Veg., ed. 15[bis]. 2: 434 (1817)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Syst. Veg. 2: 434 1817 to Syst. Veg., ed. 15 bis 2: 434 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ke","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:413287-1","The Poaceae TEN","A","kew-430558","",TRUE,"Synonym","wfo-0000886864","Panicum virgatum"
"27","Schizachyrium scoparium","Schizachyrium scoparium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,22,1,"wfo-0000898183","urn:lsid:ipni.org:names:420956-1","441401","Schizachyrium scoparium","species","wfo-4000034388","(Michx.) Nash","Poaceae","","","","Schizachyrium","","scoparium","","species","Valid","Fl. S.E. U.S. : 59 (1903)","Accepted","","wfo-0000847451",NA,"Source in seed data: wcs Update namepublishedIn from Fl. S.E. U.S. 59 1903 to Fl. S.E. U.S. : 59 (1903), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-441401 >Th","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:420956-1","The Poaceae TEN","A","kew-441401","",FALSE,"","",""
"28","Andropogon gerardii","Andropogon gerardii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,23,1,"wfo-0000846629","urn:lsid:ipni.org:names:30435428-2","392462","Andropogon gerardii","species","wfo-4000002006","Vitman","Poaceae","","","","Andropogon","","gerardii","","species","Valid","Summa Pl. 6: 16 (1792)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Summa Pl. 6: 16 1792 to Summa Pl. 6: 16 (1792), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-392462 >The Pl","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30435428-2","The Poaceae TEN","A","kew-392462","",FALSE,"","",""
"29","Sorghastrum nutans","Sorghastrum nutans",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,24,1,"wfo-0000900100","urn:lsid:ipni.org:names:240823-2","443203","Sorghastrum nutans","species","wfo-4000035800","(L.) Nash","Poaceae","","","","Sorghastrum","","nutans","","species","Valid","Fl. S.E. U.S. : 66 (1903)","Accepted","","wfo-1000048325",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) Nash to Nash in Small, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-443203 >The Plant List v","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:240823-2","The Poaceae TEN","A","kew-443203","",FALSE,"","",""
